D,H,LK,LKW,HK,F,Fg,V,Drzewostan
36.2,28.79,12.59,0.437,16.20,0.514,0.513,1.5242,Olecki
42.3,28.55,12.45,0.436,16.10,0.446,0.445,1.7888,Olecki
43.8,30.51,13.22,0.433,17.29,0.439,0.438,2.0171,Olecki
42.4,31.75,14.01,0.441,17.74,0.420,0.419,1.8825,Olecki
39.5,30.31,13.51,0.446,16.80,0.474,0.473,1.7617,Olecki
33.0,26.97,8.37,0.310,18.60,0.442,0.441,1.0205,Olecki
37.7,29.52,13.03,0.441,16.49,0.457,0.456,1.5059,Olecki
35.5,29.28,14.08,0.481,15.20,0.507,0.506,1.4697,Olecki
33.9,27.79,9.89,0.356,17.90,0.545,0.544,1.3669,Olecki
35.7,30.27,14.37,0.475,15.90,0.519,0.518,1.5734,Olecki
50.7,29.68,17.59,0.593,12.09,0.449,0.449,2.6920,Olecki
40.7,30.28,13.59,0.449,16.69,0.436,0.435,1.7172,Olecki
36.4,29.44,14.34,0.487,15.10,0.452,0.450,1.3836,Olecki
44.9,27.93,12.34,0.442,15.59,0.419,0.418,1.8524,Olecki
45.0,31.96,16.17,0.506,15.79,0.424,0.423,2.1529,Olecki
52.8,33.00,20.51,0.621,12.49,0.458,0.458,3.3114,Olecki
34.7,27.85,11.06,0.397,16.79,0.444,0.443,1.1698,Olecki
39.7,29.23,15.43,0.528,13.80,0.457,0.456,1.6535,Olecki
52.9,31.24,14.75,0.472,16.49,0.383,0.382,2.6297,Olecki
41.2,29.23,16.04,0.549,13.19,0.504,0.503,1.9633,Olecki
39.7,29.39,16.09,0.548,13.30,0.462,0.461,1.6811,Olecki
39.5,30.37,11.57,0.381,18.80,0.452,0.450,1.6804,Olecki
41.6,30.54,15.65,0.512,14.89,0.423,0.422,1.7558,Olecki
39.6,31.29,15.49,0.495,15.80,0.487,0.486,1.8761,Olecki
53.6,32.52,16.13,0.496,16.39,0.417,0.416,3.0568,Olecki
37.1,32.44,14.64,0.451,17.80,0.488,0.487,1.7107,p100
28.1,29.04,7.64,0.263,21.40,0.520,0.518,0.9364,p100
41.9,36.49,,,,0.464,0.463,2.3358,p100
56.3,39.61,21.35,0.539,18.26,0.432,0.431,4.2554,p100
46.9,34.56,16.67,0.482,17.89,0.419,0.418,2.4990,p100
37.4,33.20,12.84,0.387,20.36,0.435,0.434,1.5877,p100
58.0,38.08,14.58,0.383,23.50,0.376,0.376,3.7849,p100
41.5,35.43,,,,0.472,0.471,2.2608,p100
40.2,36.43,,,,0.495,0.494,2.2874,p100
54.9,40.87,20.65,0.505,20.22,0.518,0.517,5.0098,p100
40.1,30.88,15.01,0.486,15.87,0.448,0.447,1.7468,p100
37.9,31.55,12.03,0.381,19.52,0.493,0.492,1.7537,p100
34.7,34.88,13.90,0.398,20.98,0.466,0.465,1.5389,p100
35.6,32.04,9.46,0.295,22.58,0.453,0.452,1.4457,p100
43.5,34.88,15.16,0.435,19.72,0.454,0.453,2.3517,p100
41.5,36.93,18.67,0.506,18.26,0.465,0.464,2.3227,p100
56.8,39.83,17.20,0.432,22.63,0.418,0.417,4.2153,p100
41.8,34.34,15.80,0.460,18.54,0.500,0.500,2.3568,p100
40.9,31.49,14.95,0.475,16.54,0.452,0.451,1.8706,p100
43.5,34.34,9.70,0.283,24.64,0.420,0.419,2.1427,p100
42.6,36.85,19.75,0.536,17.10,0.461,0.460,2.4210,p100
43.5,34.11,12.60,0.369,21.51,0.473,0.472,2.3965,p100
42.2,35.86,15.52,0.433,20.34,0.476,0.475,2.3887,p100
53.5,39.64,16.65,0.420,22.99,0.418,0.418,3.7263,p100
56.7,37.34,16.25,0.435,21.09,0.391,0.390,3.6847,p100
33.5,33.25,16.20,0.487,17.05,0.490,0.489,1.4355,p100
41.9,34.71,13.75,0.396,20.96,0.428,0.427,2.0489,p100
54.9,38.94,18.85,0.484,20.09,0.466,0.466,4.2967,p100
46.5,34.99,15.77,0.451,19.22,0.438,0.437,2.6015,p100
46.4,34.15,17.00,0.498,17.15,0.462,0.461,2.6650,p100
39.3,31.52,11.25,0.357,20.27,0.466,0.465,1.7814,p100
61.6,42.36,20.80,0.491,21.56,0.418,0.418,5.2775,p100
44.9,34.93,15.56,0.445,19.37,0.463,0.463,2.5634,p100
49.0,35.31,18.42,0.522,16.89,0.404,0.404,2.6905,p100
39.8,35.57,13.73,0.386,21.84,0.477,0.476,2.1095,p100
48.5,39.09,17.49,0.447,21.60,0.483,0.482,3.4844,p100
51.4,34.54,16.55,0.479,17.99,0.418,0.417,2.9961,p100
45.5,32.89,15.34,0.466,17.55,0.469,0.469,2.5095,p100
58.0,38.16,18.62,0.488,19.54,0.376,0.375,3.7875,p100
46.8,36.36,11.82,0.325,24.54,0.494,0.493,3.0894,p100
41.3,33.44,15.48,0.463,17.96,0.437,0.436,1.9571,p100
47.1,34.78,13.79,0.396,20.99,0.436,0.435,2.6406,p100
65.9,40.75,,,,0.410,0.410,5.6951,p100
47.8,38.09,19.70,0.517,18.39,0.464,0.464,3.1745,p100
51.1,35.37,24.02,0.679,11.35,0.431,0.430,3.1240,p100
34.7,34.23,14.10,0.412,20.13,0.492,0.491,1.5933,p100
62.4,38.83,17.73,0.457,21.10,0.462,0.462,5.4878,p100
37.4,33.53,17.65,0.526,15.88,0.483,0.482,1.7776,p100
54.1,37.12,20.90,0.563,16.22,0.434,0.434,3.7066,p100
65.1,40.55,15.50,0.382,25.05,0.417,0.417,5.6298,p100
37.4,34.50,11.35,0.329,23.15,0.449,0.448,1.7013,p100
55.4,38.37,20.25,0.528,18.12,0.423,0.422,3.9096,p100
36.2,32.32,13.75,0.425,18.57,0.427,0.426,1.4206,p100
59.7,39.67,24.42,0.616,15.25,0.429,0.429,4.7689,p100
52.6,36.04,16.42,0.456,19.62,0.441,0.441,3.4564,p100
43.9,35.56,17.35,0.488,18.21,0.472,0.471,2.5414,p100
66.5,42.16,23.19,0.550,18.97,0.436,0.436,6.3810,p100
62.2,39.41,22.19,0.563,17.22,0.432,0.432,5.1709,p100
44.4,33.85,17.15,0.507,16.70,0.492,0.491,2.5801,p100
62.8,40.15,24.66,0.614,15.49,0.439,0.439,5.4609,p100
66.1,40.01,23.86,0.596,16.15,0.453,0.452,6.2147,p100
61.0,35.91,23.56,0.656,12.35,0.465,0.465,4.8810,p100
50.5,35.02,20.45,0.584,14.57,0.402,0.402,2.8215,p100
45.5,35.44,17.42,0.492,18.02,0.491,0.491,2.8310,p100
57.9,38.13,15.05,0.395,23.08,0.392,0.391,3.9323,p100
52.3,35.76,14.45,0.404,21.31,0.460,0.459,3.5336,p100
60.3,41.21,20.43,0.496,20.78,0.450,0.450,5.2969,p100
46.2,36.69,15.31,0.417,21.38,0.485,0.485,2.9856,p100
41.9,33.23,15.49,0.466,17.74,0.384,0.383,1.7611,p100
51.9,39.96,21.42,0.536,18.54,0.454,0.454,3.8375,p100
48.4,36.67,18.09,0.493,18.58,0.442,0.441,2.9794,p100
57.9,39.61,21.21,0.536,18.40,0.458,0.458,4.7765,p100
43.5,35.79,18.75,0.524,17.04,0.477,0.476,2.5365,p100
46.5,35.27,18.25,0.518,17.02,0.438,0.437,2.6235,p100
49.4,36.63,18.19,0.497,18.44,0.467,0.466,3.2768,p100
47.5,34.94,17.35,0.497,17.59,0.478,0.477,2.9570,p100
65.5,42.64,25.82,0.606,16.82,0.428,0.428,6.1552,p100
43.2,31.35,16.72,0.533,14.63,0.406,0.405,1.8633,p100
42.1,33.15,15.05,0.454,18.10,0.415,0.414,1.9139,p100
50.1,37.16,18.85,0.507,18.31,0.388,0.387,2.8409,p100
54.0,35.28,18.35,0.520,16.93,0.351,0.350,2.8340,p100
41.2,32.97,14.23,0.432,18.74,0.454,0.453,1.9938,p100
45.7,34.19,16.97,0.496,17.22,0.451,0.450,2.5277,p100
58.9,37.30,17.05,0.457,20.25,0.465,0.464,4.7241,p100
40.3,31.23,15.70,0.503,15.53,0.461,0.460,1.8370,p100
50.3,33.42,17.92,0.536,15.50,0.362,0.362,2.4060,p100
56.0,39.89,19.88,0.498,20.01,0.451,0.450,4.4288,p100
44.4,33.26,21.52,0.647,11.74,0.406,0.405,2.0916,p100
63.0,38.61,22.22,0.575,16.39,0.394,0.393,4.7386,p100
45.1,33.82,16.69,0.493,17.13,0.476,0.475,2.5714,p100
51.5,33.88,15.88,0.469,18.00,0.391,0.390,2.7591,p100
46.6,34.55,13.52,0.391,21.03,0.524,0.523,3.0859,p100
52.0,34.94,18.85,0.540,16.09,0.391,0.390,2.8991,p100
36.0,32.67,,,,0.489,0.488,1.6268,p100
38.9,32.42,19.45,0.600,12.97,0.426,0.425,1.6419,p100
57.5,37.30,23.64,0.634,13.66,0.424,0.424,4.1085,p100
43.6,35.19,19.52,0.555,15.67,0.507,0.506,2.6630,p100
52.2,34.69,13.18,0.380,21.51,0.453,0.452,3.3602,p100
57.3,37.77,18.75,0.496,19.02,0.476,0.476,4.6375,p100
43.2,34.13,10.22,0.299,23.91,0.445,0.444,2.2246,p100
37.8,32.69,12.09,0.370,20.60,0.467,0.466,1.7146,p100
42.9,32.36,15.30,0.473,17.06,0.474,0.474,2.2191,p100
45.0,36.59,17.19,0.470,19.40,0.482,0.481,2.8060,p100
48.8,35.97,17.25,0.480,18.72,0.424,0.424,2.8540,p100
44.4,35.24,14.50,0.411,20.74,0.452,0.452,2.4685,p100
39.9,31.72,12.65,0.399,19.07,0.491,0.490,1.9481,p100
44.7,36.91,17.58,0.476,19.33,0.447,0.446,2.5892,p100
49.2,34.62,13.55,0.391,21.07,0.484,0.483,3.1845,p100
43.1,34.53,,,,0.433,0.432,2.1821,p100
41.9,32.49,13.32,0.410,19.17,0.530,0.529,2.3751,p100
49.9,35.01,,,,0.475,0.475,3.2529,p100
49.1,36.02,,,,0.390,0.389,2.6591,p100
40.9,32.89,,,,0.433,0.432,1.8715,p100
55.3,35.64,19.70,0.553,15.94,0.439,0.439,3.7599,p100
46.4,31.82,12.02,0.378,19.80,0.483,0.482,2.5959,p100
69.5,40.62,23.15,0.570,17.47,0.416,0.416,6.4106,p100
51.8,36.48,15.39,0.422,21.09,0.451,0.450,3.4636,p100
43.6,32.74,14.21,0.434,18.53,0.496,0.495,2.4239,p100
49.3,37.37,18.32,0.490,19.05,0.469,0.468,3.3461,p100
33.7,31.09,16.21,0.521,14.88,0.479,0.477,1.3280,p100
69.7,39.12,18.27,0.467,20.85,0.386,0.386,5.7651,p100
31.7,30.26,10.55,0.349,19.71,0.486,0.484,1.1607,p100
41.2,36.44,15.37,0.422,21.07,0.451,0.450,2.1916,p100
50.1,36.18,15.02,0.415,21.16,0.397,0.396,2.8285,p100
33.0,30.50,14.28,0.468,16.22,0.488,0.486,1.2732,p100
42.9,33.68,13.90,0.413,19.78,0.424,0.423,2.0649,p100
46.2,33.82,15.36,0.454,18.46,0.465,0.465,2.6383,p100
48.9,33.78,16.34,0.484,17.44,0.508,0.508,3.2237,p100
37.8,32.65,12.68,0.388,19.97,0.470,0.469,1.7219,p100
38.7,31.50,13.95,0.443,17.55,0.458,0.457,1.6956,p100
52.0,35.35,14.05,0.397,21.30,0.464,0.463,3.4813,p100
42.6,34.35,12.40,0.361,21.95,0.466,0.465,2.2822,p100
39.1,33.27,9.30,0.280,23.97,0.503,0.502,2.0077,p100
38.6,29.07,15.60,0.537,13.47,0.443,0.442,1.5066,p100
52.6,34.09,15.12,0.443,18.97,0.442,0.441,3.2710,p100
41.9,33.41,13.40,0.401,20.01,0.424,0.423,1.9526,p100
52.0,37.23,14.30,0.384,22.93,0.460,0.459,3.6333,p100
42.0,33.80,11.70,0.346,22.10,0.441,0.440,2.0663,p100
62.5,36.77,17.26,0.469,19.51,0.380,0.379,4.2814,p100
59.9,37.07,16.95,0.457,20.12,0.487,0.487,5.0876,p100
52.6,34.54,12.42,0.360,22.12,0.456,0.456,3.4249,p100
39.9,33.16,14.19,0.428,18.97,0.447,0.446,1.8524,p100
50.7,36.05,17.64,0.489,18.41,0.488,0.487,3.5498,p100
48.4,36.77,18.59,0.506,18.18,0.517,0.517,3.5007,p100
47.2,32.56,16.33,0.501,16.23,0.473,0.473,2.6956,p100
51.9,38.81,21.62,0.557,17.19,0.475,0.474,3.8962,p100
45.4,34.76,18.43,0.530,16.33,0.444,0.444,2.5000,p100
38.3,34.78,20.78,0.597,14.00,0.481,0.480,1.9285,p100
41.8,32.69,12.22,0.374,20.47,0.443,0.443,1.9895,p100
49.3,33.69,17.02,0.505,16.67,0.443,0.443,2.8503,p100
37.2,32.78,15.90,0.485,16.88,0.507,0.506,1.8055,p100
45.9,32.40,17.00,0.525,15.40,0.458,0.457,2.4558,p100
56.8,38.83,23.35,0.601,15.48,0.419,0.419,4.1269,p100
49.6,35.91,16.84,0.469,19.07,0.460,0.459,3.1894,p100
52.6,36.46,20.93,0.574,15.53,0.366,0.366,2.9026,p100
52.8,34.33,17.55,0.511,16.78,0.439,0.439,3.3025,p100
43.0,35.52,19.49,0.549,16.03,0.447,0.446,2.3035,p100
55.3,34.14,18.61,0.545,15.53,0.429,0.428,3.5143,p100
51.9,38.19,21.51,0.563,16.68,0.402,0.402,3.2489,p100
60.8,36.84,21.74,0.590,15.10,0.332,0.332,3.5531,p100
48.5,35.69,17.15,0.481,18.54,0.486,0.486,3.2069,p100
55.9,37.40,19.78,0.529,17.62,0.438,0.438,4.0223,p100
54.9,35.36,,,,0.501,0.500,4.1920,p100
48.3,35.75,18.19,0.509,17.56,0.432,0.431,2.8293,p100
38.9,32.12,12.60,0.392,19.52,0.376,0.375,1.4353,p100
49.7,38.12,20.35,0.534,17.77,0.445,0.444,3.2890,p100
52.8,37.62,17.25,0.458,20.37,0.437,0.437,3.6018,p100
40.6,29.91,19.35,0.647,10.56,0.440,0.439,1.7024,p100
47.9,37.20,18.61,0.500,18.59,0.433,0.433,2.9051,p100
56.6,39.68,26.89,0.678,12.79,0.424,0.423,4.2308,p100
61.2,37.38,19.33,0.517,18.05,0.410,0.409,4.5033,p100
47.1,35.50,23.22,0.654,12.28,0.456,0.455,2.8180,p100
50.1,38.17,17.54,0.459,20.63,0.459,0.459,3.4575,p100
36.2,29.41,14.35,0.488,15.06,0.427,0.426,1.2930,p100
57.1,33.30,17.60,0.529,15.70,0.418,0.418,3.5665,p100
44.4,35.03,16.52,0.472,18.51,0.471,0.471,2.5571,p100
37.0,29.06,,,,0.437,0.435,1.3639,p100
39.7,34.77,19.15,0.551,15.62,0.435,0.434,1.8729,p100
51.2,35.41,,,,0.394,0.393,2.8717,p100
54.1,37.74,21.17,0.561,16.57,0.417,0.416,3.6152,p100
67.5,39.78,29.21,0.734,10.57,0.384,0.384,5.4639,p100
61.2,38.78,23.61,0.609,15.17,0.465,0.465,5.3071,p100
34.5,30.92,17.01,0.550,13.91,0.441,0.440,1.2753,p100
47.5,32.57,14.60,0.448,17.97,0.471,0.471,2.7197,p100
49.4,32.82,18.12,0.552,14.70,0.481,0.481,3.0264,p100
51.9,36.42,22.29,0.612,14.13,0.460,0.460,3.5469,p100
42.2,33.71,16.15,0.479,17.56,0.504,0.503,2.3757,p100
44.1,32.67,16.89,0.517,15.78,0.419,0.418,2.0906,p100
41.0,32.86,16.80,0.511,16.06,0.454,0.453,1.9699,p100
59.3,38.84,18.40,0.474,20.44,0.454,0.454,4.8688,p100
72.6,39.35,19.67,0.500,19.68,0.375,0.374,6.1015,p800
40.6,32.88,14.27,0.434,18.61,0.485,0.484,2.0631,p800
45.4,35.83,16.10,0.449,19.73,0.447,0.446,2.5920,p800
46.9,37.97,17.90,0.471,20.07,0.445,0.444,2.9187,p800
65.0,39.40,20.37,0.517,19.03,0.406,0.405,5.3036,p800
39.2,36.70,16.45,0.448,20.25,0.465,0.464,2.0592,p800
45.7,33.42,14.40,0.431,19.02,0.471,0.470,2.5815,p800
51.1,40.41,22.95,0.568,17.46,0.478,0.477,3.9596,p800
52.9,34.81,17.89,0.514,16.92,0.402,0.402,3.0785,p800
53.4,36.22,16.45,0.454,19.77,0.405,0.405,3.2879,p800
43.0,35.83,16.12,0.450,19.71,0.437,0.437,2.2761,p800
33.7,29.49,11.35,0.385,18.14,0.491,0.489,1.2903,p800
56.5,39.88,18.57,0.466,21.31,0.424,0.423,4.2362,p800
40.6,33.93,15.52,0.457,18.41,0.481,0.480,2.1111,p800
51.2,37.82,18.39,0.486,19.43,0.378,0.378,2.9445,p800
42.5,31.25,12.29,0.393,18.96,0.498,0.497,2.2067,p800
41.8,34.36,16.05,0.467,18.31,0.440,0.439,2.0752,p800
44.7,33.99,16.21,0.477,17.78,0.480,0.480,2.5607,p800
50.0,39.41,22.55,0.572,16.86,0.467,0.466,3.6135,p800
40.1,33.04,16.02,0.485,17.02,0.468,0.467,1.9512,p800
36.4,32.17,14.89,0.463,17.28,0.458,0.457,1.5337,p800
60.8,38.01,17.61,0.463,20.40,0.386,0.385,4.2567,p800
37.3,34.72,15.49,0.446,19.23,0.471,0.470,1.7881,p800
43.2,35.15,16.49,0.469,18.66,0.478,0.477,2.4620,p800
54.4,40.31,20.59,0.511,19.72,0.465,0.465,4.3565,p800
44.9,37.06,18.61,0.502,18.45,0.493,0.492,2.8921,p800
47.1,35.24,13.25,0.376,21.99,0.468,0.468,2.8742,p800
46.9,37.32,16.58,0.444,20.74,0.415,0.414,2.6766,p800
39.2,32.48,12.31,0.379,20.17,0.438,0.437,1.7155,p800
53.2,40.87,22.30,0.546,18.57,0.391,0.391,3.5542,p800
38.3,33.66,14.99,0.445,18.67,0.470,0.469,1.8219,p800
50.6,38.23,21.25,0.556,16.98,0.440,0.439,3.3811,p800
45.0,35.68,14.65,0.411,21.03,0.387,0.386,2.1977,p800
43.6,35.10,13.45,0.383,21.65,0.439,0.438,2.2997,p800
47.8,33.79,16.60,0.491,17.19,0.460,0.460,2.7903,p800
53.2,36.97,16.80,0.454,20.17,0.435,0.434,3.5724,p800
54.7,36.57,17.40,0.476,19.17,0.475,0.474,4.0786,p800
58.5,39.04,21.70,0.556,17.34,0.366,0.365,3.8366,p800
42.8,36.50,16.54,0.453,19.96,0.449,0.448,2.3554,p800
46.7,37.04,21.30,0.575,15.74,0.455,0.454,2.8870,p800
40.0,34.60,14.38,0.416,20.22,0.492,0.491,2.1390,p800
39.7,35.07,14.45,0.412,20.62,0.423,0.422,1.8367,p800
42.4,36.81,15.90,0.432,20.91,0.430,0.429,2.2326,p800
43.9,33.00,13.00,0.394,20.00,0.449,0.448,2.2434,p800
37.2,31.54,13.46,0.427,18.08,0.490,0.489,1.6784,p800
51.1,37.15,16.25,0.437,20.90,0.415,0.414,3.1616,p800
50.6,39.33,21.40,0.544,17.93,0.440,0.439,3.4787,p800
56.9,35.70,19.99,0.560,15.71,0.355,0.355,3.2232,p800
53.7,36.02,16.60,0.461,19.42,0.414,0.414,3.3779,p800
47.2,39.42,18.20,0.462,21.22,0.443,0.442,3.0525,p800
41.7,36.71,16.80,0.458,19.91,0.443,0.442,2.2192,p800
56.9,38.11,18.00,0.472,20.11,0.398,0.398,3.8585,p800
61.5,37.77,17.92,0.475,19.85,0.357,0.357,4.0077,p800
55.0,38.92,19.26,0.495,19.66,0.401,0.401,3.7114,p800
40.8,32.16,14.20,0.441,17.96,0.454,0.453,1.9076,p800
46.2,35.45,18.05,0.509,17.40,0.448,0.447,2.6618,p800
41.0,33.91,15.45,0.456,18.46,0.496,0.495,2.2200,p800
55.3,40.12,19.40,0.484,20.72,0.480,0.480,4.6256,p800
55.2,40.21,21.00,0.522,19.21,0.413,0.412,3.9717,p800
43.6,31.95,13.30,0.416,18.65,0.443,0.442,2.1142,p800
56.5,39.76,17.25,0.434,22.51,0.390,0.389,3.8863,p800
49.3,37.63,15.39,0.409,22.24,0.417,0.416,2.9924,p800
47.8,34.61,14.37,0.415,20.24,0.425,0.424,2.6396,p800
38.1,35.54,9.72,0.273,25.82,0.512,0.511,2.0742,p800
42.6,36.14,17.45,0.483,18.69,0.478,0.477,2.4602,p800
59.7,40.30,19.10,0.474,21.20,0.405,0.405,4.5703,p800
50.9,37.58,16.35,0.435,21.23,0.478,0.478,3.6557,p800
49.0,36.73,16.05,0.437,20.68,0.441,0.441,3.0562,p800
52.8,39.17,19.10,0.488,20.07,0.438,0.437,3.7537,p800
46.3,37.08,15.40,0.415,21.68,0.454,0.453,2.8310,p800
44.9,36.95,17.00,0.460,19.95,0.454,0.453,2.6559,p800
49.3,35.94,16.10,0.448,19.84,0.463,0.462,3.1750,p800
48.9,38.24,21.10,0.552,17.14,0.475,0.474,3.4078,p800
48.9,37.56,15.32,0.408,22.24,0.377,0.376,2.6600,p800
43.7,35.20,14.50,0.412,20.70,0.472,0.471,2.4924,p800
48.0,34.89,15.75,0.451,19.14,0.388,0.388,2.4522,p800
40.7,35.26,12.75,0.362,22.51,0.539,0.538,2.4731,p800
60.6,41.01,19.50,0.476,21.51,0.441,0.440,5.2126,p800
49.1,35.74,18.50,0.518,17.24,0.467,0.467,3.1618,p800
45.6,37.15,14.60,0.393,22.55,0.457,0.456,2.7720,p800
40.6,36.29,22.80,0.628,13.49,0.494,0.493,2.3215,p800
48.2,37.44,15.80,0.422,21.64,0.440,0.439,3.0049,p800
61.0,39.45,17.95,0.455,21.50,0.406,0.406,4.6792,p800
49.1,37.68,22.50,0.597,15.18,0.437,0.437,3.1200,p800
48.0,36.09,17.45,0.484,18.64,0.385,0.384,2.5146,p800
57.0,41.11,19.45,0.473,21.66,0.392,0.391,4.1084,p800
47.2,36.94,17.25,0.467,19.69,0.458,0.457,2.9606,p800
49.9,38.54,19.35,0.502,19.19,0.404,0.403,3.0433,p800
49.4,34.99,17.40,0.497,17.59,0.480,0.480,3.2209,p800
46.2,34.90,15.50,0.444,19.40,0.428,0.427,2.5036,p800
50.1,41.73,19.10,0.458,22.63,0.454,0.453,3.7350,p800
44.3,36.35,15.25,0.420,21.10,0.447,0.446,2.5037,p800
51.0,40.08,17.60,0.439,22.48,0.415,0.414,3.3953,p800
56.4,40.61,19.75,0.486,20.86,0.447,0.447,4.5399,p800
44.5,37.05,15.30,0.413,21.75,0.415,0.415,2.3935,p800
41.8,35.16,14.00,0.398,21.16,0.471,0.470,2.2713,p800
44.8,36.55,14.65,0.401,21.90,0.494,0.494,2.8468,p800
65.0,41.83,18.65,0.446,23.18,0.420,0.420,5.8281,p800
47.8,38.73,13.19,0.341,25.54,0.452,0.451,3.1407,p800
46.4,37.95,16.25,0.428,21.70,0.447,0.446,2.8679,p800
42.9,35.51,13.85,0.390,21.66,0.494,0.494,2.5357,p800
63.5,41.68,19.07,0.458,22.61,0.401,0.401,5.2956,p800
48.4,37.44,19.10,0.510,18.34,0.399,0.399,2.7492,p800
52.0,37.78,19.20,0.508,18.58,0.386,0.386,3.0978,p800
57.8,40.11,19.60,0.489,20.51,0.383,0.382,4.0253,p800
58.4,40.81,22.20,0.544,18.61,0.478,0.478,5.2289,p800
47.7,38.14,20.55,0.539,17.59,0.510,0.510,3.4774,p800
45.6,36.85,16.65,0.452,20.20,0.485,0.485,2.9199,p800
51.7,38.88,19.75,0.508,19.13,0.392,0.391,3.1962,p800
42.9,36.76,15.05,0.409,21.71,0.489,0.488,2.5961,p800
50.3,37.48,13.45,0.359,24.03,0.436,0.436,3.2511,p800
53.0,41.82,20.10,0.481,21.72,0.392,0.391,3.6162,p800
44.7,37.76,14.33,0.379,23.43,0.444,0.443,2.6293,p800
47.8,38.29,16.55,0.432,21.74,0.421,0.420,2.8911,p800
38.9,38.23,12.68,0.332,25.55,0.465,0.464,2.1106,p800
56.5,39.38,15.77,0.400,23.61,0.439,0.439,4.3333,p800
43.1,35.26,14.52,0.412,20.74,0.417,0.416,2.1460,p800
54.4,39.21,21.04,0.537,18.17,0.462,0.461,4.2061,p800
50.0,39.41,22.28,0.565,17.13,0.426,0.425,3.2942,p800
58.0,39.93,19.87,0.498,20.06,0.406,0.405,4.2788,p800
51.7,38.69,20.51,0.530,18.18,0.432,0.432,3.5089,p800
62.6,41.65,23.01,0.552,18.64,0.359,0.359,4.6042,p800
45.5,37.05,18.15,0.490,18.90,0.451,0.450,2.7169,p800
54.7,41.08,20.29,0.494,20.79,0.461,0.460,4.4483,p800
50.9,36.38,20.25,0.557,16.13,0.406,0.405,3.0036,p800
61.9,42.64,22.65,0.531,19.99,0.384,0.384,4.9266,p800
44.1,37.18,18.28,0.492,18.90,0.476,0.475,2.7037,p800
50.5,36.48,17.45,0.478,19.03,0.401,0.400,2.9280,p800
46.2,37.33,17.23,0.462,20.10,0.465,0.464,2.9099,p800
54.7,41.69,21.77,0.522,19.92,0.468,0.467,4.5829,p800
42.8,35.48,11.42,0.322,24.06,0.458,0.457,2.3357,p800
41.8,35.90,15.99,0.445,19.91,0.409,0.409,2.0171,p800
50.1,38.27,16.89,0.441,21.38,0.406,0.406,3.0662,p800
51.8,36.01,14.33,0.398,21.68,0.404,0.403,3.0636,p800
51.4,37.31,15.08,0.404,22.23,0.452,0.452,3.4984,p800
47.6,38.96,18.64,0.478,20.32,0.475,0.474,3.2907,p800
56.9,42.08,21.47,0.510,20.61,0.416,0.415,4.4475,p800
54.9,39.94,22.29,0.558,17.65,0.468,0.467,4.4221,p800
56.5,38.98,21.62,0.555,17.36,0.430,0.430,4.2051,p800
48.7,38.82,20.43,0.526,18.39,0.471,0.471,3.4087,p800
46.4,36.02,17.27,0.480,18.75,0.452,0.451,2.7507,p800
49.4,37.12,13.48,0.363,23.64,0.460,0.460,3.2747,p800
56.2,40.47,19.46,0.481,21.01,0.418,0.418,4.1992,p800
55.5,40.84,20.10,0.492,20.74,0.408,0.407,4.0286,p800
45.3,37.92,16.42,0.433,21.50,0.430,0.429,2.6280,p800
58.7,40.60,17.45,0.430,23.15,0.387,0.387,4.2519,p800
55.2,35.50,14.93,0.421,20.57,0.381,0.381,3.2378,p800
56.0,41.42,23.31,0.563,18.11,0.479,0.478,4.8839,p800
54.7,38.76,20.54,0.530,18.22,0.433,0.432,3.9417,p800
60.6,42.89,25.74,0.600,17.15,0.413,0.413,5.1139,p800
58.3,41.11,21.71,0.528,19.40,0.388,0.388,4.2597,p800
51.2,40.24,23.82,0.592,16.42,0.452,0.451,3.7421,p800
49.7,38.50,18.02,0.468,20.48,0.438,0.438,3.2748,p800
66.0,45.94,26.27,0.572,19.67,0.409,0.409,6.4295,p800
46.8,38.21,18.53,0.485,19.68,0.492,0.491,3.2338,p800
45.0,35.51,17.55,0.494,17.96,0.411,0.411,2.3223,p800
51.2,38.76,16.79,0.433,21.97,0.461,0.461,3.6801,p800
45.6,36.67,18.32,0.500,18.35,0.396,0.395,2.3717,p800
51.9,40.90,19.79,0.484,21.11,0.456,0.456,3.9481,p800
48.7,36.60,18.98,0.519,17.62,0.456,0.455,3.1078,p800
49.2,36.49,15.17,0.416,21.32,0.416,0.416,2.8871,p800
41.7,37.25,19.82,0.532,17.43,0.500,0.499,2.5422,p800
50.5,41.39,19.81,0.479,21.58,0.454,0.454,3.7656,p800
51.1,37.86,21.78,0.575,16.08,0.486,0.485,3.7707,p800
56.7,38.97,19.41,0.498,19.56,0.431,0.431,4.2423,p800
49.0,39.91,18.32,0.459,21.59,0.496,0.496,3.7355,p800
52.4,35.11,18.28,0.521,16.83,0.396,0.395,2.9962,p800
58.9,42.85,18.95,0.442,23.90,0.406,0.406,4.7445,p800
53.8,39.27,20.31,0.517,18.96,0.483,0.483,4.3117,p800
64.0,39.44,17.15,0.435,22.29,0.361,0.361,4.5833,p800
52.5,42.72,21.65,0.507,21.07,0.487,0.486,4.5000,p800
57.4,41.50,19.79,0.477,21.71,0.427,0.427,4.5853,p800
50.4,37.90,20.17,0.532,17.73,0.438,0.438,3.3126,p800
47.5,35.55,15.59,0.439,19.96,0.495,0.494,3.1159,p800
