,Substrat,System,Lac,Heb,Con,H,D0,Całkowita Biomasa,Nadziemna Biomasa,Biomasa korzeni,Biomasa korzenie grube,Biomasa korzenie drobne,Biomasa igieł,Biomasa strzały,Biomasa gałęzi,Biomasa nadziemna,Biomasa drewna,Vstrz,Vgal,Vkgl,Igły1rocznik,Igły2rocznik,Igły3rocznik
28,0,Odkryty,0,0,0,88,3,716.178,610.158,106.02,72.1,33.92,299.698,107.37,203.09,310.46,416.48,290,380,200,107.924,117.904,73.87
29,0,Odkryty,0,0,0,201,4.1,1274.692,1163.842,110.85,72.7,38.15,565.612,343.85,254.38,598.23,709.08,1230,660,240,280.194,208.414,77.004
30,0,Odkryty,0,0,0,150,4.8,1778.412,1572.652,205.76,163.2,42.56,745.572,293.29,533.79,827.08,1032.84,690,1280,440,278.144,295.744,171.684
31,1,Con,0,0,1,38,1.5,61.06,51.23,9.83,2.95,6.88,19.29,17.65,14.29,31.94,41.77,33,25,25,7.32,11.97,0
32,1,Con,0,0,1,66,2.1,173.73,146.89,26.84,15.65,11.19,38.89,54.39,53.61,108,134.84,135,130,35,23.71,15.18,0
33,1,Con,0,0,1,108,3.3,567.87,469.55,98.32,64.66,33.66,230.51,123.21,115.83,239.04,337.36,365,290,170,128.83,101.68,0
34,1,Con,0,0,1,108,2.9,487.46,436.71,50.75,23.07,27.68,207.32,93.74,135.65,229.39,280.14,280,370,60,107.26,87.54,12.52
35,1,Con,0,0,1,81,3.1,429.88,376.65,53.23,37.67,15.56,182.82,64.52,129.31,193.83,247.06,180,330,105,78.04,91.98,12.8
36,1,Con,0,0,1,69,2.1,270.532,243.552,26.98,14.71,12.27,136.402,28.29,78.86,107.15,134.13,75,200,45,61.974,59.754,14.674
37,1,Con,0,0,1,139,3.7,737.91,653.58,84.33,39.58,44.75,278.97,175.98,198.63,374.61,458.94,540,430,120,132.42,130.17,16.38
38,1,Con,0,0,1,65,1.6,189.03,166.26,22.77,13.17,9.6,77.06,26.56,62.64,89.2,111.97,70,150,45,31.93,28.42,16.71
39,1,Con,0,0,1,129,3,324.74,290.82,33.92,16.91,17.01,117.98,103.39,69.45,172.84,206.76,300,180,55,54.75,46.36,16.87
40,1,Con,0,0,1,189,4.2,989.598,901.468,88.13,54.81,33.32,349.888,277.26,274.32,551.58,639.71,870,750,170,173.694,158.054,18.14
41,1,Con,0,0,1,105,2.4,195.93,175.8,20.13,12.14,7.99,67.79,58.27,49.74,108.01,128.14,155,100,35,23.88,23.88,20.03
42,1,Con,0,0,1,137,3.1,658.88,572.9,85.98,44.93,41.05,272.86,142.99,157.05,300.04,386.02,450,410,135,154.73,96.47,21.66
43,1,Con,0,0,1,144,3.2,479.92,416.3,63.62,42,21.62,128.85,154.62,132.83,287.45,351.07,430,330,115,64.91,39.88,24.06
44,1,Con,0,0,1,114,2.7,501.294,448.344,52.95,30.64,22.31,209.094,94.03,145.22,239.25,292.2,280,370,90,98.394,83.62,27.08
45,1,Con,0,0,1,119,2.3,312.03,283.93,28.1,9.81,18.29,129.47,83.99,70.47,154.46,182.56,250,185,28,55.03,46.26,28.18
46,1,Con,0,0,1,127,2.7,534.88,489.52,45.36,29.48,15.88,236.13,144.22,109.17,253.39,298.75,440,290,80,119.22,87.6,29.31
47,1,Con,0,0,1,117,3.1,601.918,520.498,81.42,49.47,31.95,227.338,126.43,166.73,293.16,374.58,340,420,130,94.994,102.114,30.23
48,1,Con,0,0,1,111,3.1,410.81,377.3,33.51,16.29,17.22,183.66,99.89,93.75,193.64,227.15,320,250,50,76.58,74.82,32.26
49,1,Con,0,0,1,143,3.7,723.598,646.458,77.14,36.19,40.95,278.258,190.01,178.19,368.2,445.34,540,450,100,121.694,105.724,50.84
50,1,Con,0,0,1,170,4.5,1054.97,940.1,114.87,54.11,60.76,408.1,266.73,265.27,532,646.87,850,720,160,193.26,156.24,58.6
51,1,Con,0,0,1,131,3.1,608.42,558.69,49.73,20.29,29.44,275.08,142.71,140.9,283.61,333.34,410,350,70,106.67,109.4,59.01
52,1,Con,0,0,1,90,2.9,552.79,494.78,58.01,35.48,22.53,231.44,99.61,163.73,263.34,321.35,280,380,110,88.49,77.22,65.73
53,1,Con,0,0,1,145,4.8,1476.118,1343.478,132.64,39.25,93.39,520.848,324.04,498.59,822.63,955.27,900,1220,110,251.504,200.274,69.07
54,1,Con,0,0,1,121,3.2,741.06,673.04,68.02,37.99,30.03,277.97,140.82,254.25,395.07,463.09,390,600,105,112.23,95.4,70.34
55,1,Con,0,0,1,137,3.4,732.22,679.9,52.32,28.24,24.08,321.52,171.77,186.61,358.38,410.7,450,460,85,141.9,105.53,74.09
56,1,Con,0,0,1,203,4.2,1346.998,1230.728,116.27,55.81,60.46,524.078,364.34,342.31,706.65,822.92,1100,900,160,247.544,199.374,77.16
57,1,Con,0,0,1,158,4.1,1047.792,926.912,120.88,63.7,57.18,437.472,250.35,239.09,489.44,610.32,720,660,195,228.804,129.664,79.004
58,1,Con,0,0,1,198,3.9,1022.122,930.792,91.33,58.7,32.63,392.992,282.59,255.21,537.8,629.13,830,620,200,137.304,168.434,87.254
59,1,Con,0,0,1,138,5,1814.588,1591.048,223.54,159.22,64.32,637.598,362.89,590.56,953.45,1176.99,940,1480,450,298.764,240.194,98.64
60,1,Con,0,0,1,132,4,897.13,827.21,69.92,39.3,30.62,363.34,214.81,249.06,463.87,533.79,535,570,100,122.26,113.06,128.02
61,1,Heb,0,1,0,123,4,700.708,621.418,79.29,38.85,40.44,222.148,169.86,229.41,399.27,478.56,470,590,100,132.494,89.654,0
62,1,Heb,0,1,0,151,4.6,1070.228,975.778,94.45,56.7,37.75,406.648,236.98,332.15,569.13,663.58,660,850,175,191.124,215.524,0
63,1,Heb,0,1,0,144,3.6,579.65,517.27,62.38,35.8,26.58,174.66,164.12,178.49,342.61,404.99,460,430,100,113.27,53.27,8.12
64,1,Heb,0,1,0,60,2,166.77,149.41,17.36,10.55,6.81,77.93,25.43,46.05,71.48,88.84,60,110,30,33.99,33.24,10.7
65,1,Heb,0,1,0,93,2.8,279.45,219.81,59.64,41.21,18.43,75.74,75.83,68.24,144.07,203.71,180,160,95,32.15,31.39,12.2
66,1,Heb,0,1,0,150,4,828.808,738.858,89.95,43.48,46.47,230.228,192.77,315.86,508.63,598.58,560,780,125,120.014,95.184,15.03
67,1,Heb,0,1,0,170,2.9,389.38,362.65,26.73,16.67,10.06,142,150.45,70.2,220.65,247.38,440,200,48,69.69,52.39,19.92
68,1,Heb,0,1,0,129,3.7,688.5,605.34,83.16,34.1,49.06,238.04,169.92,197.38,367.3,450.46,450,410,90,95.94,115.12,26.98
69,1,Heb,0,1,0,176,5.2,1758.706,1534.366,224.34,120.94,103.4,665.296,365.71,503.36,869.07,1093.41,1050,1190,330,370.738,265.418,29.14
70,1,Heb,0,1,0,182,4.6,1092.91,959.68,133.23,81.58,51.65,394.46,293.1,272.12,565.22,698.45,880,760,250,215.91,141.41,37.14
71,1,Heb,0,1,0,202,6.6,1853.52,1654.17,199.35,157.49,41.86,599.73,484.54,569.9,1054.44,1253.79,1440,1400,330,279.63,281.36,38.74
72,1,Heb,0,1,0,141,3.4,547.11,489.55,57.56,25.42,32.14,234.69,129.26,125.6,254.86,312.42,380,340,75,99.96,95.63,39.1
73,1,Heb,0,1,0,200,4.3,1232.9,1098.4,134.5,86.84,47.66,397.99,347.14,353.27,700.41,834.91,1000,860,240,173.61,176.48,47.9
74,1,Heb,0,1,0,136,3.4,584.5,520.7,63.8,37.68,26.12,224.23,134.84,161.63,296.47,360.27,500,510,110,78.67,97.16,48.4
75,1,Heb,0,1,0,161,4.7,1375.8,1254.62,121.18,58.04,63.14,570.46,265.47,418.69,684.16,805.34,800,1100,190,259.33,260.92,50.21
76,1,Heb,0,1,0,132,4.4,824.912,717.372,107.54,52.97,54.57,300.402,205.69,211.28,416.97,524.51,620,540,130,127.424,113.084,59.894
77,1,Heb,0,1,0,135,4.6,992.208,877.178,115.03,67,48.03,359.738,278.72,238.72,517.44,632.47,780,680,200,159.674,133.864,66.2
78,1,Heb,0,1,0,191,4.2,1086.79,998.89,87.9,49.74,38.16,417.78,309.83,271.28,581.11,669.01,920,750,160,189.68,157.46,70.64
79,1,Heb,0,1,0,137,3,858.15,774.13,84.02,37.19,46.83,340.48,157.56,276.09,433.65,517.67,440,660,100,133,136.29,71.19
80,1,Heb,0,1,0,96,3.6,943.542,853.782,89.76,47.37,42.39,379.842,154.52,319.42,473.94,563.7,390,730,130,180.084,122.554,77.204
81,1,Heb,0,1,0,104,3.7,943.612,831.072,112.54,51.98,60.56,435.822,139.28,255.97,395.25,507.79,380,620,140,198.204,159.954,77.664
